country,year,population,real_gdp
ABW,1970,0.059065,420.705017089844
ABW,1971,0.059438,458.933227539063
ABW,1972,0.059849,500.636779785156
ABW,1973,0.060239,546.129028320313
ABW,1974,0.060525,595.742431640625
ABW,1975,0.060655,649.885009765625
ABW,1976,0.060589,708.9619140625
ABW,1977,0.060366,773.399719238281
ABW,1978,0.060106,843.700561523438
ABW,1979,0.059978,920.3623046875
ABW,1980,0.060096,1003.974609375
ABW,1981,0.060567,1095.22631835938
ABW,1982,0.061344,1194.833984375
ABW,1983,0.062204,1303.37756347656
ABW,1984,0.062831,1421.88244628906
ABW,1985,0.063028,1551.21765136719
ABW,1986,0.062644,1691.72680664063
ABW,1987,0.061835,1964.3056640625
ABW,1988,0.061077,2331.2861328125
ABW,1989,0.061032,2477.49609375
ABW,1990,0.062148,2803.59716796875
ABW,1991,0.064623,2588.083984375
ABW,1992,0.068235,3285.06982421875
ABW,1993,0.072498,3642.48999023438
ABW,1994,0.0767,4120.84228515625
ABW,1995,0.080326,4051.763671875
ABW,1996,0.083195,4171.46533203125
ABW,1997,0.085447,4420.34814453125
ABW,1998,0.087276,4534.41015625
ABW,1999,0.089004,4327.7314453125
ABW,2000,0.090858,3867.49926757813
ABW,2001,0.092894,4295.00732421875
ABW,2002,0.094995,3222.05322265625
ABW,2003,0.097015,3297.90771484375
ABW,2004,0.098742,3695.2900390625
ABW,2005,0.100031,3906.52026367188
ABW,2006,0.10083,4118.1396484375
ABW,2007,0.101218,4196.46337890625
ABW,2008,0.101342,4433.67724609375
ABW,2009,0.101416,4183.044921875
AGO,1970,6.300969,28380.9765625
AGO,1971,6.437645,30342.71875
AGO,1972,6.587647,29754.080078125
AGO,1973,6.750215,31922.142578125
AGO,1974,6.923749,32134.619140625
AGO,1975,7.107334,30249.021484375
AGO,1976,7.299508,29379.09375
AGO,1977,7.50132,30599.28515625
AGO,1978,7.717139,27858.52734375
AGO,1979,7.952882,28026.099609375
AGO,1980,8.21195,29614.904296875
AGO,1981,8.49795,28956.353515625
AGO,1982,8.807511,27463.87109375
AGO,1983,9.128655,28620.84375
AGO,1984,9.444918,28380.51171875
AGO,1985,9.745209,30968.048828125
AGO,1986,10.0237,27061.1484375
AGO,1987,10.285712,29668.751953125
AGO,1988,10.544904,28204.390625
AGO,1989,10.820992,30350.27734375
AGO,1990,11.12787,32667.025390625
AGO,1991,11.472173,26304.021484375
AGO,1992,11.848971,30015.341796875
AGO,1993,12.246786,27484.984375
AGO,1994,12.648483,28932.923828125
AGO,1995,13.042666,25601.490234375
AGO,1996,13.424813,34157.62109375
AGO,1997,13.801868,33600.125
AGO,1998,14.18771,38930.71875
AGO,1999,14.601983,34551.40234375
AGO,2000,15.058638,30508.326171875
AGO,2001,15.562791,36299.23828125
AGO,2002,16.109696,41151.66796875
AGO,2003,16.691395,43193.640625
AGO,2004,17.2955,52226.078125
AGO,2005,17.912942,70904.7578125
AGO,2006,18.541467,93890.46875
AGO,2007,19.183907,106633.8515625
AGO,2008,19.842251,131339.21875
AGO,2009,20.520103,107551.765625
AIA,1970,0.0064,52.3840446472168
AIA,1971,0.006454,51.096866607666
AIA,1972,0.006506,57.0407829284668
AIA,1973,0.006554,59.4361801147461
AIA,1974,0.006596,59.2288818359375
AIA,1975,0.00663,61.2083206176758
AIA,1976,0.006661,62.2149696350098
AIA,1977,0.006691,62.4586296081543
AIA,1978,0.006712,67.0461120605469
AIA,1979,0.006715,73.1687927246094
AIA,1980,0.006698,76.1087951660156
AIA,1981,0.006652,79.7075576782227
AIA,1982,0.006587,79.9641189575195
AIA,1983,0.006537,78.5869064331055
AIA,1984,0.006551,81.2012023925781
AIA,1985,0.006662,89.1304626464844
AIA,1986,0.006883,109.954818725586
AIA,1987,0.007198,118.425132751465
AIA,1988,0.007576,125.981582641602
AIA,1989,0.007966,147.196960449219
AIA,1990,0.008334,190.152160644531
AIA,1991,0.008668,145.22492980957
AIA,1992,0.008979,191.754516601563
AIA,1993,0.009266,199.210876464844
AIA,1994,0.00954,204.358383178711
AIA,1995,0.009807,204.493896484375
AIA,1996,0.010063,196.984985351563
AIA,1997,0.010305,195.566482543945
AIA,1998,0.010545,225.986267089844
AIA,1999,0.010797,245.141006469727
AIA,2000,0.011071,231.877914428711
AIA,2001,0.011371,229.641296386719
AIA,2002,0.011693,202.028717041016
AIA,2003,0.012023,239.764938354492
AIA,2004,0.012342,273.644378662109
AIA,2005,0.012637,331.180541992188
AIA,2006,0.012903,348.768798828125
AIA,2007,0.013145,417.664520263672
AIA,2008,0.013365,424.521453857422
AIA,2009,0.013571,302.758941650391
ALB,1970,2.150602,7078.47314453125
ALB,1971,2.20204,7352.4833984375
ALB,1972,2.253842,7657.08935546875
ALB,1973,2.305999,7962.5322265625
ALB,1974,2.358467,8304.6259765625
ALB,1975,2.411229,8629.828125
ALB,1976,2.464338,8933.1748046875
ALB,1977,2.517869,9319.794921875
ALB,1978,2.571845,9735.41015625
ALB,1979,2.62629,9966.9775390625
ALB,1980,2.681245,10552.2646484375
ALB,1981,2.735329,10921.9501953125
ALB,1982,2.788315,10948.6923828125
ALB,1983,2.84262,11347.642578125
ALB,1984,2.90159,11512.7119140625
ALB,1985,2.966799,11610.2255859375
ALB,1986,3.041003,12164.2255859375
ALB,1987,3.121336,12453.25390625
ALB,1988,3.197064,12197.375
ALB,1989,3.253659,13172.1171875
ALB,1990,3.281453,12953.4765625
ALB,1991,3.275438,11796.779296875
ALB,1992,3.240613,10727.8798828125
ALB,1993,3.189623,12253.4716796875
ALB,1994,3.140634,13723.4189453125
ALB,1995,3.106727,14835.130859375
ALB,1996,3.092034,17523.0390625
ALB,1997,3.092471,14202.0478515625
ALB,1998,3.102898,13965.5048828125
ALB,1999,3.114851,15998.4560546875
ALB,2000,3.121965,16415.7890625
ALB,2001,3.124093,16868.884765625
ALB,2002,3.123112,16754.833984375
ALB,2003,3.117045,17371.5
ALB,2004,3.103758,18018.326171875
ALB,2005,3.082172,19110.421875
ALB,2006,3.050741,20541.271484375
ALB,2007,3.010849,21887.41796875
ALB,2008,2.968026,24689.7578125
ALB,2009,2.929886,26575.701171875
ARE,1970,0.235434,58497.86328125
ARE,1971,0.27516,67192.0703125
ARE,1972,0.324069,64038.96875
ARE,1973,0.382823,73443.7109375
ARE,1974,0.451948,75434.90625
ARE,1975,0.531265,94013.7578125
ARE,1976,0.622051,111823.3125
ARE,1977,0.722849,139958.046875
ARE,1978,0.827394,134856.328125
ARE,1979,0.927303,165075.703125
ARE,1980,1.016789,253769.75
ARE,1981,1.093108,225429.859375
ARE,1982,1.158477,202150.84375
ARE,1983,1.218223,189480.234375
ARE,1984,1.280278,194366.453125
ARE,1985,1.350433,178614.015625
ARE,1986,1.430548,143554.578125
ARE,1987,1.518991,129827.2421875
ARE,1988,1.613904,144005.359375
ARE,1989,1.7121170000000001,170170.640625
ARE,1990,1.811458,203520.265625
ARE,1991,1.91319,189672.359375
ARE,1992,2.019014,198636.8125
ARE,1993,2.127863,161611.03125
ARE,1994,2.238281,174158.84375
ARE,1995,2.350192,195975.96875
ARE,1996,2.467726,209374.625
ARE,1997,2.59522,223294.34375
ARE,1998,2.73377,209149.484375
ARE,1999,2.884188,230454.1875
ARE,2000,3.050128,292844.34375
ARE,2001,3.217865,283765.0625
ARE,2002,3.39406,283797.59375
ARE,2003,3.625798,311928.875
ARE,2004,3.975945,335541.96875
ARE,2005,4.481976,397142.625
ARE,2006,5.171255,468657.28125
ARE,2007,6.0101,514199.6875
ARE,2008,6.900142,572370.6875
ARE,2009,7.705423,471371.3125
ARG,1960,20.6252569350236,64673.578125
ARG,1961,20.9599807678549,66844.828125
ARG,1962,21.2933306936232,67655.265625
ARG,1963,21.6261005252982,65443.921875
ARG,1964,21.9590898004625,68879.078125
ARG,1965,22.2930961484943,77556.6640625
ARG,1966,22.6217480753889,79047.0703125
ARG,1967,22.9445131921595,81800.03125
ARG,1968,23.2709477857108,84209.6640625
ARG,1969,23.6106119593561,92424.0625
ARG,1970,23.973062,95035.7265625
ARG,1971,24.366442,98051.90625
ARG,1972,24.78295,99798.40625
ARG,1973,25.213388,105425.2734375
ARG,1974,25.644505,110358.4609375
ARG,1975,26.066975,108928.8046875
ARG,1976,26.477153,108897.03125
ARG,1977,26.878567,116226.1328125
ARG,1978,27.277742,114318.59375
ARG,1979,27.68453,121946.6484375
ARG,1980,28.105889,123486.75
ARG,1981,28.543366,124252.7890625
ARG,1982,28.993989,129667.28125
ARG,1983,29.454739,140620.09375
ARG,1984,29.920907,149928.59375
ARG,1985,30.388781,146209.5625
ARG,1986,30.857242,163147.703125
ARG,1987,31.326473,173890.609375
ARG,1988,31.795515,184885.234375
ARG,1989,32.263559,178384.078125
ARG,1990,32.72974,199708.28125
ARG,1991,33.19392,235515.265625
ARG,1992,33.655149,277855.78125
ARG,1993,34.110912,320473.875
ARG,1994,34.558114,372903
ARG,1995,34.994818,416118.8125
ARG,1996,35.419683,532989.8125
ARG,1997,35.833965,553420.6875
ARG,1998,36.241578,554934.1875
ARG,1999,36.648054,523007.4375
ARG,2000,37.057453,520440.71875
ARG,2001,37.471535,489405.21875
ARG,2002,37.889443,421078.1875
ARG,2003,38.309475,456466.53125
ARG,2004,38.728778,499958.9375
ARG,2005,39.145491,546220.4375
ARG,2006,39.55875,593656
ARG,2007,39.969903,649728
ARG,2008,40.38186,685144.125
ARG,2009,40.798641,679886.25
ARM,1990,3.544695,20811.623046875
ARM,1991,3.511912,18860.162109375
ARM,1992,3.449497,10830.0595703125
ARM,1993,3.369673,10410.396484375
ARM,1994,3.289943,8454.7353515625
ARM,1995,3.223173,8784.6162109375
ARM,1996,3.173425,9676.3515625
ARM,1997,3.137652,10038.4892578125
ARM,1998,3.112958,9035.810546875
ARM,1999,3.09382,9966.298828125
ARM,2000,3.076098,10165.326171875
ARM,2001,3.060036,10715.8134765625
ARM,2002,3.047249,11570.73828125
ARM,2003,3.03642,13183.27734375
ARM,2004,3.025982,14022.982421875
ARM,2005,3.014917,15564.150390625
ARM,2006,3.002161,17764.314453125
ARM,2007,2.988117,20138.564453125
ARM,2008,2.975029,22000.109375
ARM,2009,2.966108,20453.529296875
ATG,1970,0.065369,345.769256591797
ATG,1971,0.066338,372.220092773438
ATG,1972,0.067205,398.584228515625
ATG,1973,0.067972,428.556732177734
ATG,1974,0.068655,430.182647705078
ATG,1975,0.069253,397.894073486328
ATG,1976,0.069782,361.457702636719
ATG,1977,0.070223,390.721649169922
ATG,1978,0.070508,394.496978759766
ATG,1979,0.070553,505.703460693359
ATG,1980,0.070301,438.415222167969
ATG,1981,0.06975,465.558532714844
ATG,1982,0.06895,477.365478515625
ATG,1983,0.067958,570.263549804688
ATG,1984,0.066863,532.098876953125
ATG,1985,0.065744,454.245422363281
ATG,1986,0.064605,555.970703125
ATG,1987,0.063484,601.515747070313
ATG,1988,0.062538,632.888488769531
ATG,1989,0.061967,682.757141113281
ATG,1990,0.061906,717.40966796875
ATG,1991,0.062412,714.690002441406
ATG,1992,0.063434,712.005615234375
ATG,1993,0.064868,728.446411132813
ATG,1994,0.06655,796.5
ATG,1995,0.068349,720.676574707031
ATG,1996,0.070245,782.30859375
ATG,1997,0.072232,812.54150390625
ATG,1998,0.074206,580.154113769531
ATG,1999,0.076041,851.044555664063
ATG,2000,0.077648,1032.47973632813
ATG,2001,0.078972,823.843383789063
ATG,2002,0.08003,865.316467285156
ATG,2003,0.080904,966.66015625
ATG,2004,0.081718,737.262390136719
ATG,2005,0.082565,1144.95251464844
ATG,2006,0.083467,1285.03552246094
ATG,2007,0.084397,1566.16711425781
ATG,2008,0.08535,1653.06762695313
ATG,2009,0.0863,1638.32104492188
AUS,1960,10.5614572208142,147421.21875
AUS,1961,10.8035878213804,151806.828125
AUS,1962,11.0035312378958,160098.484375
AUS,1963,11.2140365179697,171474.8125
AUS,1964,11.435046307718,179988.390625
AUS,1965,11.660398466957,182392.375
AUS,1966,11.880264095324,194973.734375
AUS,1967,12.1016413387701,203872.703125
AUS,1968,12.3354692355486,219278.359375
AUS,1969,12.6185592582074,236060.640625
AUS,1970,12.90476,245432.515625
AUS,1971,13.150591,254986.859375
AUS,1972,13.364238,263023.84375
AUS,1973,13.55219,274795.4375
AUS,1974,13.7254,266772.375
AUS,1975,13.892674,272025.96875
AUS,1976,14.054956,284435.71875
AUS,1977,14.211657,289628.65625
AUS,1978,14.368543,303346.65625
AUS,1979,14.532401,313245.5625
AUS,1980,14.708323,323755.71875
AUS,1981,14.898019,338412
AUS,1982,15.101227,330351.40625
AUS,1983,15.318254,350116.90625
AUS,1984,15.548591,363798.46875
AUS,1985,15.791043,373923.875
AUS,1986,16.047026,385013
AUS,1987,16.314778,417436.25
AUS,1988,16.585905,442874
AUS,1989,16.849253,458443.03125
AUS,1990,17.096869,459148.71875
AUS,1991,17.325818,459646.71875
AUS,1992,17.538387,478489.28125
AUS,1993,17.738428,496492.75
AUS,1994,17.932214,520231.0625
AUS,1995,18.12477,549039.4375
AUS,1996,18.31834,576827.4375
AUS,1997,18.512971,603486.9375
AUS,1998,18.709175,622528.6875
AUS,1999,18.906936,651364.3125
AUS,2000,19.107251,672515.4375
AUS,2001,19.308681,694783.6875
AUS,2002,19.514385,713336.5625
AUS,2003,19.735255,742670.1875
AUS,2004,19.985475,767682.375
AUS,2005,20.274282,823623.6875
AUS,2006,20.606228,847763.9375
AUS,2007,20.975949,879535.25
AUS,2008,21.370348,932737.5
AUS,2009,21.77069,919825.75
AUT,1960,7.08769986061355,63902.94921875
AUT,1961,7.12678363300117,67423.53125
AUT,1962,7.17059779877805,69297.4765625
AUT,1963,7.21680689405473,72150.2890625
AUT,1964,7.26507138937869,75660.6796875
AUT,1965,7.31242807502241,78058.5703125
AUT,1966,7.36389747900619,82049.546875
AUT,1967,7.41914342880712,84550.8203125
AUT,1968,7.45776778139883,88224.21875
AUT,1969,7.4835662650534,92658.546875
AUT,1970,7.509746,98571.8984375
AUT,1971,7.543451,103879.515625
AUT,1972,7.57366,110109.2890625
AUT,1973,7.598925,115664.46875
AUT,1974,7.617432,119681.0703125
AUT,1975,7.628138,120347.046875
AUT,1976,7.630536,123487.5390625
AUT,1977,7.625724,128682.390625
AUT,1978,7.616309,128127.7421875
AUT,1979,7.605888,133411.21875
AUT,1980,7.597269,135028.953125
AUT,1981,7.591618,134646.40625
