VariableCode,RegionCode,YearCode,AggValue
rgdpo,BRB,1960,1898.38244628906000000
pop,BRB,1960,0.23242754798034600
rgdpo,BRB,1961,1943.99572753906000000
pop,BRB,1961,0.22968451042899000
rgdpo,BRB,1962,1997.27575683594000000
pop,BRB,1962,0.22883417952099500
rgdpo,BRB,1963,1980.86303710938000000
pop,BRB,1963,0.23082594212010200
rgdpo,BRB,1964,1983.98669433594000000
pop,BRB,1964,0.23335791371548900
rgdpo,BRB,1965,2078.11914062500000000
pop,BRB,1965,0.23506956187299700
rgdpo,BRB,1966,2200.96899414063000000
pop,BRB,1966,0.23631704082809300
rgdpo,BRB,1967,2441.99926757813000000
pop,BRB,1967,0.23831479597711800
rgdpo,BRB,1968,2534.80908203125000000
pop,BRB,1968,0.23995942297931600
rgdpo,BRB,1969,2912.86621093750000000
pop,BRB,1969,0.23941220776795600
rgdpo,BRB,1970,3214.32421875000000000
pop,BRB,1970,0.23884700000000000
rgdpo,BRB,1971,3323.54956054688000000
pop,BRB,1971,0.24003800000000000
rgdpo,BRB,1972,3379.22094726563000000
rgdpo,DOM,1960,10034.12597656250000000
pop,DOM,1960,3.29020250515122000
rgdpo,DOM,1961,9947.14746093750000000
pop,DOM,1961,3.40125334511070000
rgdpo,DOM,1962,10951.14843750000000000
pop,DOM,1962,3.51618115370630000
rgdpo,DOM,1963,10592.39843750000000000
pop,DOM,1963,3.63406784845214000
rgdpo,DOM,1964,10945.38183593750000000
pop,DOM,1964,3.75399194835501000
rgdpo,DOM,1965,10344.37792968750000000
pop,DOM,1965,3.87503197242169000
rgdpo,DOM,1966,10564.99218750000000000
pop,DOM,1966,3.99773556583677000
rgdpo,DOM,1967,10949.28125000000000000
pop,DOM,1967,4.12271713017923000
rgdpo,DOM,1968,10686.42773437500000000
pop,DOM,1968,4.24915519767220000
rgdpo,DOM,1969,11541.54003906250000000
pop,DOM,1969,4.37622781503773000
rgdpo,DOM,1970,13209.27636718750000000
pop,DOM,1970,4.50311400000000000
rgdpo,DOM,1971,14437.04101562500000000
pop,DOM,1971,4.63111400000000000
rgdpo,DOM,1972,17173.74023437500000000
pop,DOM,1972,4.75993500000000000
rgdpo,DOM,1973,18886.34960937500000000
pop,DOM,1973,4.88943700000000000
rgdpo,DOM,1974,19005.69921875000000000
pop,DOM,1974,5.01947100000000000
rgdpo,DOM,1975,19817.50390625000000000
pop,DOM,1975,5.14993400000000000
rgdpo,DOM,1976,22446.73828125000000000
pop,DOM,1976,5.28072700000000000
rgdpo,DOM,1977,22478.18554687500000000
pop,DOM,1977,5.41186700000000000
rgdpo,DOM,1978,22465.79687500000000000
pop,DOM,1978,5.54352000000000000
rgdpo,DOM,1979,23243.09375000000000000
pop,DOM,1979,5.67593000000000000
rgdpo,DOM,1980,22814.08398437500000000
pop,DOM,1980,5.80927100000000000
rgdpo,DOM,1981,25481.93945312500000000
pop,DOM,1981,5.94359100000000000
rgdpo,DOM,1982,25756.13671875000000000
pop,DOM,1982,6.07881600000000000
rgdpo,DOM,1983,26975.46093750000000000
pop,DOM,1983,6.21485700000000000
rgdpo,DOM,1984,30099.00000000000000000
pop,DOM,1984,6.35157200000000000
rgdpo,DOM,1985,30798.91406250000000000
pop,DOM,1985,6.48885700000000000
rgdpo,DOM,1986,32155.22265625000000000
pop,DOM,1986,6.62654400000000000
rgdpo,DOM,1987,35336.91406250000000000
pop,DOM,1987,6.76462300000000000
rgdpo,DOM,1988,37337.10546875000000000
pop,DOM,1988,6.90331400000000000
rgdpo,DOM,1989,35968.92968750000000000
pop,DOM,1989,7.04294000000000000
rgdpo,DOM,1990,34189.16015625000000000
pop,DOM,1990,7.18364600000000000
rgdpo,DOM,1991,35122.74218750000000000
pop,DOM,1991,7.32562200000000000
rgdpo,DOM,1992,40756.80078125000000000
pop,DOM,1992,7.46855100000000000
rgdpo,DOM,1993,44411.27343750000000000
pop,DOM,1993,7.61146300000000000
rgdpo,DOM,1994,46625.08984375000000000
pop,DOM,1994,7.75305200000000000
rgdpo,DOM,1995,47825.72265625000000000
pop,DOM,1995,7.89242000000000000
rgdpo,DOM,1996,49685.58203125000000000
pop,DOM,1996,8.02911400000000000
rgdpo,DOM,1997,54440.11328125000000000
pop,DOM,1997,8.16347400000000000
rgdpo,DOM,1998,59976.48437500000000000
pop,DOM,1998,8.29637500000000000
rgdpo,DOM,1999,63725.30468750000000000
pop,DOM,1999,8.42911600000000000
rgdpo,DOM,2000,64513.10156250000000000
pop,DOM,2000,8.56262300000000000
rgdpo,DOM,2001,70628.01562500000000000
pop,DOM,2001,8.69712700000000000
rgdpo,DOM,2002,71165.38281250000000000
pop,DOM,2002,8.83228600000000000
rgdpo,DOM,2003,68102.23437500000000000
pop,DOM,2003,8.96775900000000000
rgdpo,DOM,2004,70866.13281250000000000
pop,DOM,2004,9.10299700000000000
rgdpo,DOM,2005,78844.32812500000000000
pop,DOM,2005,9.23756500000000000
rgdpo,DOM,2006,87732.89062500000000000
pop,DOM,2006,9.37133300000000000
rgdpo,DOM,2007,96206.43750000000000000
pop,DOM,2007,9.50433600000000000
rgdpo,DOM,2008,98104.38281250000000000
pop,DOM,2008,9.63649100000000000
rgdpo,DOM,2009,104659.23437500000000000
pop,DOM,2009,9.76773700000000000
rgdpo,ECU,1960,12133.30078125000000000
pop,ECU,1960,4.51504794556815000
rgdpo,ABW,1970,420.70501708984400000
pop,ABW,1970,0.05906500000000000
rgdpo,ABW,1971,458.93322753906300000
pop,ABW,1971,0.05943800000000000
rgdpo,ABW,1972,500.63677978515600000
pop,ABW,1972,0.05984900000000000
rgdpo,ABW,1973,546.12902832031300000
pop,ABW,1973,0.06023900000000000
rgdpo,ABW,1974,595.74243164062500000
pop,ABW,1974,0.06052500000000000
rgdpo,ABW,1975,649.88500976562500000
pop,ABW,1975,0.06065500000000000
rgdpo,ABW,1976,708.96191406250000000
pop,ABW,1976,0.06058900000000000
rgdpo,ABW,1977,773.39971923828100000
pop,ABW,1977,0.06036600000000000
rgdpo,ABW,1978,843.70056152343800000
pop,ABW,1978,0.06010600000000000
rgdpo,ABW,1979,920.36230468750000000
pop,ABW,1979,0.05997800000000000
rgdpo,ABW,1980,1003.97460937500000000
pop,ABW,1980,0.06009600000000000
rgdpo,ABW,1981,1095.22631835938000000
pop,ABW,1981,0.06056700000000000
rgdpo,ABW,1982,1194.83398437500000000
pop,ABW,1982,0.06134400000000000
rgdpo,ABW,1983,1303.37756347656000000
pop,ABW,1983,0.06220400000000000
rgdpo,ABW,1984,1421.88244628906000000
pop,ABW,1984,0.06283100000000000
rgdpo,ABW,1985,1551.21765136719000000
pop,ABW,1985,0.06302800000000000
rgdpo,ABW,1986,1691.72680664063000000
pop,ABW,1986,0.06264400000000000
rgdpo,ABW,1987,1964.30566406250000000
pop,ABW,1987,0.06183500000000000
rgdpo,ABW,1988,2331.28613281250000000
pop,ABW,1988,0.06107700000000000
rgdpo,ABW,1989,2477.49609375000000000
pop,ABW,1989,0.06103200000000000
rgdpo,ABW,1990,2803.59716796875000000
pop,ABW,1990,0.06214800000000000
rgdpo,ABW,1991,2588.08398437500000000
pop,ABW,1991,0.06462300000000000
rgdpo,ABW,1992,3285.06982421875000000
pop,ABW,1992,0.06823500000000000
rgdpo,ABW,1993,3642.48999023438000000
pop,ABW,1993,0.07249800000000000
rgdpo,ABW,1994,4120.84228515625000000
pop,ABW,1994,0.07670000000000000
rgdpo,ABW,1995,4051.76367187500000000
pop,ABW,1995,0.08032600000000000
rgdpo,ABW,1996,4171.46533203125000000
pop,ABW,1996,0.08319500000000000
rgdpo,ABW,1997,4420.34814453125000000
pop,ABW,1997,0.08544700000000000
rgdpo,ABW,1998,4534.41015625000000000
pop,ABW,1998,0.08727600000000000
rgdpo,ABW,1999,4327.73144531250000000
pop,ABW,1999,0.08900400000000000
rgdpo,ABW,2000,3867.49926757813000000
pop,ABW,2000,0.09085800000000000
rgdpo,ABW,2001,4295.00732421875000000
pop,ABW,2001,0.09289400000000000
rgdpo,ABW,2002,3222.05322265625000000
pop,ABW,2002,0.09499500000000000
rgdpo,ABW,2003,3297.90771484375000000
pop,ABW,2003,0.09701500000000000
rgdpo,ABW,2004,3695.29003906250000000
pop,ABW,2004,0.09874200000000000
rgdpo,ABW,2005,3906.52026367188000000
pop,ABW,2005,0.10003100000000000
rgdpo,ABW,2006,4118.13964843750000000
pop,ABW,2006,0.10083000000000000
rgdpo,ABW,2007,4196.46337890625000000
pop,ABW,2007,0.10121800000000000
rgdpo,ABW,2008,4433.67724609375000000
pop,ABW,2008,0.10134200000000000
rgdpo,ABW,2009,4183.04492187500000000
pop,ABW,2009,0.10141600000000000
rgdpo,BHS,1970,3077.92114257813000000
pop,BHS,1970,0.16935600000000000
rgdpo,BHS,1971,3127.83789062500000000
pop,BHS,1971,0.17386700000000000
rgdpo,BHS,1972,3019.85009765625000000
pop,BHS,1972,0.17784400000000000
rgdpo,BHS,1973,3242.79296875000000000
pop,BHS,1973,0.18148900000000000
rgdpo,BHS,1974,2706.98144531250000000
pop,BHS,1974,0.18509700000000000
rgdpo,BHS,1975,2312.16186523438000000
pop,BHS,1975,0.18888200000000000
rgdpo,BHS,1976,2397.95849609375000000
pop,BHS,1976,0.19290500000000000
rgdpo,BHS,1977,2665.36303710938000000
pop,BHS,1977,0.19711800000000000
rgdpo,BHS,1978,3052.17016601563000000
pop,BHS,1978,0.20151100000000000
rgdpo,BHS,1979,3628.60986328125000000
pop,BHS,1979,0.20603800000000000
rgdpo,BHS,1980,3864.54248046875000000
pop,BHS,1980,0.21066000000000000
rgdpo,BHS,1981,3409.94506835938000000
pop,BHS,1981,0.21540400000000000
rgdpo,BHS,1982,3670.83789062500000000
pop,BHS,1982,0.22027500000000000
rgdpo,BHS,1983,3848.47119140625000000
pop,BHS,1983,0.22518500000000000
rgdpo,BHS,1984,4361.18994140625000000
pop,BHS,1984,0.23001600000000000
rgdpo,BHS,1985,4505.57324218750000000
pop,BHS,1985,0.23468400000000000
rgdpo,BHS,1986,4540.45849609375000000
pop,BHS,1986,0.23913200000000000
rgdpo,BHS,1987,4770.06054687500000000
pop,BHS,1987,0.24339100000000000
rgdpo,BHS,1988,4832.30957031250000000
pop,BHS,1988,0.24757600000000000
rgdpo,BHS,1989,5269.12646484375000000
pop,BHS,1989,0.25185500000000000
rgdpo,BHS,1990,4807.39746093750000000
pop,BHS,1990,0.25633800000000000
rgdpo,BHS,1991,4677.20996093750000000
pop,BHS,1991,0.26111700000000000
rgdpo,BHS,1992,4794.79980468750000000
pop,BHS,1992,0.26613300000000000
rgdpo,BHS,1993,4843.74316406250000000
rgdpo,BOL,1960,6386.30175781250000000
pop,BOL,1960,3.56014270795047000
